zip,state_id,state_name
2857,RI,Rhode Island
2858,RI,Rhode Island
2859,RI,Rhode Island
2860,RI,Rhode Island
2861,RI,Rhode Island
2863,RI,Rhode Island
2864,RI,Rhode Island
2865,RI,Rhode Island
2871,RI,Rhode Island
2872,RI,Rhode Island
2873,RI,Rhode Island
2874,RI,Rhode Island
2875,RI,Rhode Island
2876,RI,Rhode Island
2878,RI,Rhode Island
2879,RI,Rhode Island
2881,RI,Rhode Island
2882,RI,Rhode Island
2885,RI,Rhode Island
2886,RI,Rhode Island
2888,RI,Rhode Island
2889,RI,Rhode Island
2891,RI,Rhode Island
2892,RI,Rhode Island
2893,RI,Rhode Island
2894,RI,Rhode Island
2895,RI,Rhode Island
2896,RI,Rhode Island
2898,RI,Rhode Island
2903,RI,Rhode Island
2904,RI,Rhode Island
2905,RI,Rhode Island
2906,RI,Rhode Island
2907,RI,Rhode Island
2908,RI,Rhode Island
2909,RI,Rhode Island
2910,RI,Rhode Island
2911,RI,Rhode Island
2912,RI,Rhode Island
2914,RI,Rhode Island
2915,RI,Rhode Island
2916,RI,Rhode Island
2917,RI,Rhode Island
2919,RI,Rhode Island
2920,RI,Rhode Island
2921,RI,Rhode Island
3031,NH,New Hampshire
3032,NH,New Hampshire
3033,NH,New Hampshire
3034,NH,New Hampshire
3036,NH,New Hampshire
3037,NH,New Hampshire
3038,NH,New Hampshire
3042,NH,New Hampshire
3043,NH,New Hampshire
3044,NH,New Hampshire
3045,NH,New Hampshire
3046,NH,New Hampshire
3047,NH,New Hampshire
3048,NH,New Hampshire
3049,NH,New Hampshire
3051,NH,New Hampshire
3052,NH,New Hampshire
3053,NH,New Hampshire
3054,NH,New Hampshire
3055,NH,New Hampshire
3057,NH,New Hampshire
3060,NH,New Hampshire
3062,NH,New Hampshire
3063,NH,New Hampshire
3064,NH,New Hampshire
3070,NH,New Hampshire
3071,NH,New Hampshire
3076,NH,New Hampshire
3077,NH,New Hampshire
3079,NH,New Hampshire
3082,NH,New Hampshire
3084,NH,New Hampshire
3086,NH,New Hampshire
3087,NH,New Hampshire
3101,NH,New Hampshire
3102,NH,New Hampshire
3103,NH,New Hampshire
3104,NH,New Hampshire
3106,NH,New Hampshire
3109,NH,New Hampshire
3110,NH,New Hampshire
3215,NH,New Hampshire
3216,NH,New Hampshire
3217,NH,New Hampshire
3218,NH,New Hampshire
3220,NH,New Hampshire
3221,NH,New Hampshire
3222,NH,New Hampshire
3223,NH,New Hampshire
3224,NH,New Hampshire
3225,NH,New Hampshire
3226,NH,New Hampshire
3227,NH,New Hampshire
3229,NH,New Hampshire
3230,NH,New Hampshire
3231,NH,New Hampshire
3233,NH,New Hampshire
3234,NH,New Hampshire
3235,NH,New Hampshire
3237,NH,New Hampshire
3238,NH,New Hampshire
3240,NH,New Hampshire
3241,NH,New Hampshire
3242,NH,New Hampshire
3243,NH,New Hampshire
3244,NH,New Hampshire
3245,NH,New Hampshire
3246,NH,New Hampshire
